FIPS Code,State and area,Year,Month,Rate
01,Alabama,1976,01,6.7
02,Alaska,1976,01,7.1
04,Arizona,1976,01,10.3
05,Arkansas,1976,01,7.4
06,California,1976,01,9.1
037,Los Angeles County,1976,01,8.8
08,Colorado,1976,01,5.5
09,Connecticut,1976,01,9.8
10,Delaware,1976,01,7.7
11,District of Columbia,1976,01,9
12,Florida,1976,01,9.6
13,Georgia,1976,01,8.4
15,Hawaii,1976,01,10.1
16,Idaho,1976,01,5.5
17,Illinois,1976,01,6.7
18,Indiana,1976,01,6.5
19,Iowa,1976,01,4.2
20,Kansas,1976,01,4.3
21,Kentucky,1976,01,5.6
22,Louisiana,1976,01,6.3
23,Maine,1976,01,8.8
24,Maryland,1976,01,6.5
25,Massachusetts,1976,01,10.3
26,Michigan,1976,01,9.9
27,Minnesota,1976,01,6
28,Mississippi,1976,01,6.7
29,Missouri,1976,01,6
30,Montana,1976,01,5.9
31,Nebraska,1976,01,3.3
32,Nevada,1976,01,8.9
33,New Hampshire,1976,01,6.8
34,New Jersey,1976,01,10.3
35,New Mexico,1976,01,8.9
36,New York,1976,01,10.3
51000,New York city,1976,01,11.1
37,North Carolina,1976,01,6.5
38,North Dakota,1976,01,3.3
39,Ohio,1976,01,8.1
40,Oklahoma,1976,01,5.9
41,Oregon,1976,01,9.7
42,Pennsylvania,1976,01,8.1
44,Rhode Island,1976,01,8.1
45,South Carolina,1976,01,7.6
46,South Dakota,1976,01,3.2
47,Tennessee,1976,01,6
48,Texas,1976,01,5.8
49,Utah,1976,01,5.8
50,Vermont,1976,01,8.7
51,Virginia,1976,01,5.9
53,Washington,1976,01,8.7
54,West Virginia,1976,01,7.8
55,Wisconsin,1976,01,5.8
56,Wyoming,1976,01,4.1
01,Alabama,1976,02,6.7
02,Alaska,1976,02,7.1
04,Arizona,1976,02,10.3
05,Arkansas,1976,02,7.4
06,California,1976,02,9.1
037,Los Angeles County,1976,02,8.8
08,Colorado,1976,02,5.5
09,Connecticut,1976,02,9.8
10,Delaware,1976,02,7.7
11,District of Columbia,1976,02,9
12,Florida,1976,02,9.6
13,Georgia,1976,02,8.4
15,Hawaii,1976,02,10.2
16,Idaho,1976,02,5.4
17,Illinois,1976,02,6.7
18,Indiana,1976,02,6.5
19,Iowa,1976,02,4.2
20,Kansas,1976,02,4.3
21,Kentucky,1976,02,5.6
22,Louisiana,1976,02,6.3
23,Maine,1976,02,8.8
24,Maryland,1976,02,6.5
25,Massachusetts,1976,02,10.3
26,Michigan,1976,02,9.9
27,Minnesota,1976,02,6
28,Mississippi,1976,02,6.7
29,Missouri,1976,02,6
30,Montana,1976,02,5.9
31,Nebraska,1976,02,3.3
32,Nevada,1976,02,9
33,New Hampshire,1976,02,6.8
34,New Jersey,1976,02,10.2
35,New Mexico,1976,02,8.9
36,New York,1976,02,10.3
51000,New York city,1976,02,11.1
37,North Carolina,1976,02,6.5
38,North Dakota,1976,02,3.3
39,Ohio,1976,02,8.1
40,Oklahoma,1976,02,5.9
41,Oregon,1976,02,9.7
42,Pennsylvania,1976,02,8.1
44,Rhode Island,1976,02,8.1
45,South Carolina,1976,02,7.6
46,South Dakota,1976,02,3.2
47,Tennessee,1976,02,6
48,Texas,1976,02,5.9
49,Utah,1976,02,5.8
50,Vermont,1976,02,8.7
51,Virginia,1976,02,5.9
53,Washington,1976,02,8.7
54,West Virginia,1976,02,7.9
55,Wisconsin,1976,02,5.8
56,Wyoming,1976,02,4.1
01,Alabama,1976,03,6.6
02,Alaska,1976,03,7
04,Arizona,1976,03,10.2
05,Arkansas,1976,03,7.4
06,California,1976,03,9
037,Los Angeles County,1976,03,8.8
08,Colorado,1976,03,5.4
09,Connecticut,1976,03,9.8
